,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,sodium,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,glycine,carbohydrate,fiber,sugars,glucose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,water
0,Cornstarch,100 g,381,0.1g,,0,0.26 g,9.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.0 mcg,2.00 mg,0.050 mg,0.47 mg,3.00 mg,0.053 mg,13.00 mg,3.00 mg,2.8 mcg,0.06 mg,0.009 g,91.27 g,0.9 g,0.00 g,0,0,0.05 g,0.009 g,0.016 g,0.025 g,0.00 mg,0.0 g,0.09 g,0.00 mg,8.32 g
1,"Nuts, pecans",100 g,691,72g,6.2g,0,9.17 g,0.00 mg,56.00 IU,3.00 mcg,0.00 mcg,0.210 mg,1.1 mg,0.00 IU,1.40 mg,3.5 mcg,70.00 mg,1.200 mg,2.53 mg,121.00 mg,4.500 mg,277.00 mg,410.00 mg,3.8 mcg,4.53 mg,0.453 g,13.86 g,9.6 g,3.97 g,0.04 g,3.90 g,71.97 g,6.180 g,40.801 g,21.614 g,0.00 mg,0.0 g,1.49 g,0.00 mg,3.52 g
2,"Eggplant, raw",100 g,25,0.2g,,0,0.98 g,2.00 mg,23.00 IU,1.00 mcg,0.00 mcg,0.084 mg,2.2 mg,0.00 IU,0.30 mg,3.5 mcg,9.00 mg,0.081 mg,0.23 mg,14.00 mg,0.232 mg,24.00 mg,229.00 mg,0.3 mcg,0.16 mg,0.041 g,5.88 g,3.0 g,3.53 g,1.58 g,0.26 g,0.18 g,0.034 g,0.016 g,0.076 g,0.00 mg,0.0 g,0.66 g,0.00 mg,92.30 g
3,"Teff, uncooked",100 g,367,2.4g,0.4g,0,13.30 g,12.00 mg,9.00 IU,0.00 mcg,0,0.482 mg,0,0,0.08 mg,1.9 mcg,180.00 mg,0.810 mg,7.63 mg,184.00 mg,9.240 mg,429.00 mg,427.00 mg,4.4 mcg,3.63 mg,0.477 g,73.13 g,8.0 g,1.84 g,0.73 g,0.62 g,2.38 g,0.449 g,0.589 g,1.071 g,0,0,2.37 g,0,8.82 g
4,"Sherbet, orange",100 g,144,2g,1.2g,1mg,1.10 g,46.00 mg,46.00 IU,12.00 mcg,0.13 mcg,0.023 mg,2.3 mg,0.00 IU,0.01 mg,0.0 mcg,54.00 mg,0.028 mg,0.14 mg,8.00 mg,0.011 mg,40.00 mg,96.00 mg,1.5 mcg,0.48 mg,0,30.40 g,1.3 g,24.32 g,0,0,2.00 g,1.160 g,0.530 g,0.080 g,1.00 mg,0.0 g,0.40 g,0.00 mg,66.10 g
5,"Cauliflower, raw",100 g,25,0.3g,0.1g,0,1.92 g,30.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.184 mg,48.2 mg,0.00 IU,0.08 mg,15.5 mcg,22.00 mg,0.039 mg,0.42 mg,15.00 mg,0.155 mg,44.00 mg,299.00 mg,0.6 mcg,0.27 mg,0.071 g,4.97 g,2.0 g,1.91 g,0.94 g,0.00 g,0.28 g,0.130 g,0.034 g,0.031 g,0.00 mg,0.0 g,0.76 g,0.00 mg,92.07 g
6,"Taro leaves, raw",100 g,42,0.7g,0.2g,0,4.98 g,3.00 mg,4825.00 IU,241.00 mcg,0.00 mcg,0.146 mg,52.0 mg,0.00 IU,2.02 mg,108.6 mcg,107.00 mg,0.270 mg,2.25 mg,45.00 mg,0.714 mg,60.00 mg,648.00 mg,0.9 mcg,0.41 mg,0,6.70 g,3.7 g,3.01 g,0,0,0.74 g,0.151 g,0.060 g,0.307 g,0.00 mg,0.0 g,1.92 g,0.00 mg,85.66 g
7,"Lamb, raw, ground",100 g,282,23g,10g,73mg,16.56 g,59.00 mg,0.00 IU,0.00 mcg,2.31 mcg,0.130 mg,0.0 mg,2.00 IU,0.20 mg,3.6 mcg,16.00 mg,0.101 mg,1.55 mg,21.00 mg,0.019 mg,157.00 mg,222.00 mg,18.8 mcg,3.41 mg,0.809 g,0.00 g,0.0 g,0.00 g,0,0,23.41 g,10.190 g,9.600 g,1.850 g,73.00 mg,0.0 g,0.87 g,0.00 mg,59.47 g
8,"Cheese, camembert",100 g,300,24g,15g,72mg,19.80 g,842.00 mg,820.00 IU,241.00 mcg,1.30 mcg,0.227 mg,0.0 mg,18.00 IU,0.21 mg,2.0 mcg,388.00 mg,0.021 mg,0.33 mg,20.00 mg,0.038 mg,347.00 mg,187.00 mg,14.5 mcg,2.38 mg,0.379 g,0.46 g,0.0 g,0.46 g,0,0,24.26 g,15.259 g,7.023 g,0.724 g,72.00 mg,0.0 g,3.68 g,0.00 mg,51.80 g
9,Vegetarian fillets,100 g,290,18g,2.8g,0,23.00 g,490.00 mg,0.00 IU,0.00 mcg,4.20 mcg,1.500 mg,0.0 mg,0.00 IU,3.45 mg,0.0 mcg,95.00 mg,0.925 mg,2.00 mg,23.00 mg,0,450.00 mg,600.00 mg,1.0 mcg,1.40 mg,0,9.00 g,6.1 g,0.80 g,0,0,18.00 g,2.849 g,4.376 g,9.332 g,0.00 mg,0.0 g,5.00 g,0.00 mg,45.00 g
10,"PACE, Picante Sauce",100 g,25,0g,,0,0.00 g,781.00 mg,313.00 IU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25 g,3.1 g,6.25 g,0,0,0.00 g,0,0,0,0.00 mg,0,3.85 g,0,89.90 g
11,"Goji berries, dried",100 g,349,0.4g,,0,14.26 g,298.00 mg,26822.00 IU,0,0,0,48.4 mg,0,0,0,190.00 mg,0,6.80 mg,0,0,0,0,0,0,0.304 g,77.06 g,13.0 g,45.61 g,0,0,0.39 g,0.000 g,0,0,0.00 mg,0,0.78 g,0,7.50 g
